,school_no, longitude, latitude, person, sa2_name_2016, sa4_name_2016, mb_category_name_2016, sa3_name_2016, mb_code_2016, Connectivity, Area, Connections, LUM_Residential, LUM_Parkland, LUM_Education, LUM_Commercial, LUM_Industrial, LUM_Hospital/Medical, LUM_Transport, LandUseMixMeasure, AverageDensity, Connectivity_ZScore, AverageDensity_ZScore, LandUseMixMeasure_ZScore, SumZScore
92,83,145.03918,-37.81111,0,Kew,Melbourne - Inner East,Education,Boroondara,20072280000,74.2390529437,579209.975006,43,494882.794134,6913.30325285,47631.5980616,29782.2795574,0.0,0.0,0.0,0.280242495894,41.7634347868,-0.719581269292,-0.598688559992,-0.653715539135,-1.97198536842
93,78,144.9009,-37.8635,3,Williamstown,Melbourne - West,Education,Hobsons Bay,20283420000,80.1273881782,723847.380012,58,550287.123603,71850.858276,32449.5337769,24850.0128603,13742.0671783,0.0,28771.8140382,0.460366008324,41.6206114643,-0.591683239431,-0.602102309784,0.418234336863,-0.775551212352
94,26,144.997,-37.85936,13,St Kilda East,Melbourne - Inner,Education,Port Phillip,20527170000,116.6098753,565989.800008,66,384800.240109,116423.170303,50795.6725961,13970.7170008,0.0,0.0,0.0,0.460112169689,91.9282990741,0.200737375472,0.600347367641,0.41672369403,1.21780843714
95,25,144.95288,-37.80597,213,North Melbourne,Melbourne - Inner,Commercial,Melbourne City,20631900250,200.253694728,823954.835013,165,192955.650945,59096.2869091,3062.63914445,568840.258015,0.0,0.0,0.0,0.413960412586,99.3531328361,2.01752926805,0.777815054711,0.14206565724,2.93740998
96,1,144.98215,-37.84883,6,South Yarra - West,Melbourne - Inner,Education,Melbourne City,20400690000,130.604818318,643161.570009,84,401343.797675,95967.1471679,57966.5872174,11361.1723938,0.0,76522.8655541,0.0,0.575364202937,118.613266961,0.504715591508,1.23816899197,1.10261084492,2.8454954284
97,8889,144.94742,-37.84437,0,Albert Park,Melbourne - Inner,Education,Port Phillip,20532020000,170.627560793,474718.150007,81,399562.156363,23442.9774054,22676.4113241,29036.6049146,0.0,0.0,0.0,0.313378629332,68.1782352001,1.37403259001,0.0326755464758,-0.456515997274,0.950192139208
98,8849,144.9764,-37.74118,0,Coburg,Melbourne - Inner,Education,Brunswick - Coburg,20468780000,73.3521285383,613479.13001,45,381374.477909,135932.298542,78488.0838577,17684.2697008,0.0,0.0,0.0,0.511188588661,50.9685584748,-0.738845777778,-0.378668548435,0.720689346518,-0.396824979694
99,8836,144.89401,-37.79107,0,Footscray,Melbourne - West,Education,Maribyrnong,20371480000,98.4261311284,599434.310011,59,427010.043034,89578.1239151,32340.7490464,0.0,42542.0947381,6435.13196465,0.0,0.472491444839,100.218524892,-0.194224012154,0.79849957527,0.490395155813,1.09467071893
100,8819,145.01433,-37.82251,0,Richmond (Vic.),Melbourne - Inner,Education,Yarra,20645840000,80.0426947721,349813.310006,28,157140.594699,83469.7286647,68936.4752953,24706.6404073,15559.8709391,0.0,0.0,0.692281655963,50.3783482362,-0.59352282895,-0.392775698749,1.79840923117,0.812110703468
101,8807,144.95576,-37.77101,0,Brunswick,Melbourne - Inner,Education,Brunswick - Coburg,20465220000,111.601548698,618270.990011,69,274524.444363,59152.8914731,55417.9918175,84755.0529738,133936.366831,10484.2425513,0.0,0.75754564931,65.1207264303,0.0919536395229,-0.0404047442054,2.18680788403,2.23835677934
102,8748,144.9848,-37.80784,3,Collingwood,Melbourne - Inner,Education,Yarra,20637590000,149.626631149,788629.665011,118,386204.927971,55647.5456323,15429.5289409,178787.424337,127031.77021,25528.4679192,0.0,0.696476633752,86.5878448651,0.917880312711,0.472700327077,1.82337435571,3.2139549955
103,8742,144.98747,-37.78491,5,Fitzroy North,Melbourne - Inner,Education,Yarra,20637940000,123.973259072,758228.030011,94,499078.308058,185210.146592,24240.5572448,49699.0181162,0.0,0.0,0.0,0.466752160032,59.1165762012,0.360674308412,-0.183915385405,0.456239561386,0.632998484394
104,8704,145.03801,-37.8857,0,Caulfield - North,Melbourne - Inner South,Education,Glen Eira,20189740000,81.3314021241,565587.200007,46,452877.070782,91581.7989149,21128.3303101,0.0,0.0,0.0,0.0,0.306056238758,61.3663460107,-0.565531363652,-0.130141596344,-0.500092960448,-1.19576592044
105,8475,144.89513,-37.86275,0,Williamstown,Melbourne - West,Education,Hobsons Bay,20283310000,71.7879484901,487547.015009,35,368129.636564,24645.160262,31355.6924582,11795.2209496,0.0,0.0,51621.304775,0.445692643867,42.1050071753,-0.772820668563,-0.590524328483,0.330910305714,-1.03243469133
