school_no, longitude, latitude, person, sa2_name_2016, sa4_name_2016, mb_category_name_2016, sa3_name_2016, mb_code_2016, Connectivity, Area, Connections, LUM_Residential, LUM_Parkland, LUM_Education, LUM_Commercial, LUM_Industrial, LUM_Hospital/Medical, LUM_Transport, LandUseMixMeasure, AverageDensity, Connectivity_ZScore, AverageDensity_ZScore, LandUseMixMeasure_ZScore, SumZScore
2784,144.94974,-37.8306,0,"South Melbourne","Melbourne - Inner","Education","Port Phillip","20529430000",190.52790132844711,740049.0900119296,141,140928.7369653721,39537.18447882272,6255.6796834450215,56479.13209995878,459163.8374045814,0.0,37684.51937967574,0.5944768224088035,44.40505433646874,1.806279438505813,-0.5355488148301091,1.2163537416515717,2.4870843653272754
2743,144.97241,-37.77867,0,"Brunswick East","Melbourne - Inner","Education","Brunswick - Coburg","20461480000",101.66310601291171,678712.295011296,69,568943.2441203487,32375.877053923352,26725.19494010202,50667.978896830915,0.0,0.0,0.0,0.3155926859934717,83.32010718102921,-0.12391505487644006,0.3945951644123426,-0.4433397176660976,-0.17265960813019504
2711,145.0204,-37.77799,0,"Alphington - Fairfield","Melbourne - Inner","Education","Darebin - South","20140080000",78.32630055415518,676656.4950090493,53,561960.872823095,6300.969534049276,30016.038859956432,78378.6137922466,0.0,0.0,0.0,0.3009820794538896,44.833186786617595,-0.6308038990996601,-0.5253156327651914,-0.5302902643056346,-1.6864097961704863
2634,145.01778,-37.85219,0,"Armadale","Melbourne - Inner","Education","Stonnington - West","20550230000",131.23177876670158,601988.3350087247,79,524070.9353988328,0.0,20569.99797380634,57347.40163593678,0.0,0.0,0.0,0.23640184739301856,43.142512795332784,0.5183335332549442,-0.5657259655003604,-0.9146197214427042,-0.9620121536881203
2608,144.92612,-37.77432,0,"Ascot Vale","Melbourne - Inner","Education","Essendon","20445260000",78.93833482736184,570065.2300104254,45,460282.38015610364,819.4872892056592,11148.270484000444,97815.09208088432,0.0,0.0,0.0,0.2885624629045245,44.01448635953961,-0.6175101624775247,-0.5448841343445553,-0.6042018055613085,-1.7665961023833885
2605,144.96951,-37.80205,5,"Carlton","Melbourne - Inner","Education","Melbourne City","20395860000",222.60854623407653,741211.4350115731,165,261273.247514543,206907.4517763969,19035.94459881763,243588.32736354362,0.0,10406.46375814965,0.0,0.638979208203922,113.92844654277397,2.5030895073427364,1.1261928493918754,1.4811960506389579,5.110478407373569
2586,145.03847,-37.87159,0,"Malvern - Glen Iris","Melbourne - Inner South","Education","Stonnington - East","20557120000",85.06753409949576,517236.10500496236,44,450152.3217780391,4084.0463865359416,16071.828886277974,46927.90795391258,0.0,0.0,0.0,0.2491007712573042,42.32023902378695,-0.48438042710922435,-0.5853798768273561,-0.8390459683105441,-1.9088062722471246
2436,145.04298,-37.76657,0,"Ivanhoe","Melbourne - North East","Education","Banyule","20023130000",106.56726771311219,609943.3850080995,65,426155.0405499582,15119.661835452076,16519.264965016395,120384.42939191707,0.0,0.0,23012.012913244776,0.4533825137926193,34.83583619766544,-0.01739384054435398,-0.7642713781378881,0.3766742096165048,-0.4049910090657374
2374,144.92758,-37.7927,0,"Kensington (Vic.)","Melbourne - Inner","Education","Melbourne City","20449350000",179.44099713289708,640879.1850104858,115,573505.4401148295,16634.965856730123,11937.122259524109,16520.074969850597,8931.975118000992,0.0,13349.606691479683,0.258419238764655,80.03477885789631,1.5654654991846009,0.3160695519249909,-0.7835899650698948,1.097945086039697
1912,144.90025,-37.8064,0,"Footscray","Melbourne - West","Education","Maribyrnong","20377070000",91.12710180914017,680368.3950122214,62,320859.0242844146,18717.34407004167,45934.1646992974,160192.20399720286,134665.65796125587,0.0,0.0,0.6662342595569413,44.481281132354425,-0.35276312934915366,-0.5337268490336544,1.6433961350374713,0.7569061566546632
1896,144.99564,-37.85715,0,"Prahran - Windsor","Melbourne - Inner","Education","Stonnington - West","20544290000",174.35127631435006,648116.850009543,113,384224.6462079168,80621.76908578022,67502.79111361287,115767.64360224496,0.0,0.0,0.0,0.5717058625651052,84.52433747306316,1.4549138340181027,0.4233785650216345,1.0808393534875642,2.9591317525273015
1886,144.99881,-37.80898,0,"Abbotsford","Melbourne - Inner","Education","Yarra","20637040000",117.24763234724436,545853.2400079137,64,335766.3626745904,15919.868937293853,14446.561778888106,109745.68989093207,69888.67006370836,0.0,86.08666245732456,0.5576830584110225,91.13161909439708,0.21458982555106015,0.5813051967492361,0.9973869325826932,1.7932819548829895
1604,145.0344,-37.85601,0,"Malvern - Glen Iris","Melbourne - Inner South","Education","Stonnington - East","20555670000",78.41771997614156,586602.1100077305,46,491890.2882144175,34642.904032333754,37515.79883565416,18105.947152918678,0.0,4447.171772220172,0.0,0.3263056672800535,68.67128809459474,-0.6288182166448733,0.04446045097166689,-0.3795846930896801,-0.9639424587628865
1508,145.03386,-37.82404,0,"Hawthorn","Melbourne - Inner East","Education","Boroondara","20067480000",99.93593381164945,620397.4650084544,62,412180.5515630536,18502.790605383678,31703.118148124457,151484.39620529913,0.0,6526.608486684621,0.0,0.4730743099971123,95.09471193229976,-0.1614302290256851,0.6760306737279811,0.4938638991517351,1.008464343854031
1490,144.98415,-37.78502,0,"Fitzroy North","Melbourne - Inner","Education","Yarra","20640000000",120.95366659592483,768889.4650105081,93,498558.8340791865,201666.9865604216,24164.939078142866,44498.70529310545,0.0,0.0,0.0,0.46537917368381776,64.91009603011248,0.2950870221483106,-0.045439212470308146,0.4480686539581805,0.697716463636183
1479,144.98901,-37.87022,0,"St Kilda","Melbourne - Inner","Education","Port Phillip","20525150000",120.59617394283039,754584.4700109581,91,583433.3729622974,42892.70256711729,21156.424792216625,100285.67176008318,0.0,0.0,6816.297929028748,0.39715640794474855,83.70392936260147,0.28732207599637966,0.40376924655261753,0.042061774079336596,0.7331530966283338
1409,144.89175,-37.8559,0,"Williamstown","Melbourne - West","Education","Hobsons Bay","20283450000",83.53119979491399,646465.0350118391,54,531328.2883639423,32714.64237010756,13835.912971630692,44525.115375538626,0.0,0.0,21599.657162233256,0.35517518564323985,44.43645805730111,-0.517750492320859,-0.5347982060110817,-0.20777660311759805,-1.2603253014495388
1402,144.95078,-37.79861,0,"North Melbourne","Melbourne - Inner","Education","Melbourne City","20401850000",218.86521855947132,740181.565011804,162,470128.6339340518,32144.796608405886,43314.84449668386,152367.26656921976,0.0,42226.02340304246,0.0,0.554679176237058,123.60961953616086,2.4217822760731087,1.3575913472372187,0.979510248520373,4.758883871830701
1401,144.99689,-37.77176,0,"Northcote","Melbourne - Inner","Education","Darebin - South","20139540000",107.82116504158382,584300.865008299,63,440649.1867603578,0.0,24396.172491262667,88635.83508211329,0.0,0.0,30619.67067465512,0.40392863477400365,54.850928640372146,0.009841531011828079,-0.2858724972748237,0.08236460635227477,-0.1936663599107209
1360,144.98924,-37.79231,0,"Yarra - North","Melbourne - Inner","Education","Yarra","20638090000",124.97723868659584,744135.5000106472,93,439516.5901276322,99609.80561579205,18804.312817298924,136798.27583274455,0.0,0.0,49406.51561716083,0.5984704583642844,64.5970662703692,0.382481323407473,-0.052921220718168675,1.240120641983028,1.5696807446723322
1252,144.97302,-37.79106,0,"Carlton North - Princes Hill","Melbourne - Inner","Education","Yarra","20636340000",118.28907442986477,710124.7550111212,84,597285.8759377846,55387.73227898057,31341.855076281354,10535.064909714274,0.0,0.0,15574.226808375737,0.32298180890244643,101.28284118537196,0.23721054690548196,0.8239387644739956,-0.39936561745461796,0.6617836939248597
1183,144.89973,-37.86381,0,"Williamstown","Melbourne - West","Education","Hobsons Bay","20284160000",82.17627067225418,742306.7450126562,61,542851.3445239859,88022.43008299226,42407.24023506977,24638.59696091051,10541.944666648977,0.0,32942.04053243098,0.49172046339647624,41.056722858257494,-0.5471803325876943,-0.6155803228793523,0.604830766023898,-0.5579298894431485
1181,144.9524,-37.84179,10,"Albert Park","Melbourne - Inner","Education","Port Phillip","20531680000",210.07921642508992,866339.8650141938,182,744454.966349259,25368.642950079637,28013.47289327879,68502.78282140906,0.0,0.0,0.0,0.280218941491013,58.40716566675398,2.2309452536233088,-0.20087165012036565,-0.6538557159474448,1.376217887555498
1075,145.03316,-37.80463,0,"Kew","Melbourne - Inner East","Education","Boroondara","20074520000",71.4530013365461,559808.5350060891,40,409254.9162654792,19522.196423590183,16057.042297431559,114904.20178294268,0.0,0.0,70.17823650268838,0.3977884507723675,53.52018920649428,-0.7800959134917564,-0.31767970764419173,0.0458231832454916,-1.0519524378904566
824,145.00745,-37.74787,0,"Preston - East","Melbourne - North East","Education","Darebin - North","20631920750",101.26916581280221,750475.2250106148,76,582850.153777973,39808.89977326374,24479.61278296169,95145.41121316602,0.0,0.0,8191.147463507252,0.3982130269564894,64.09724407698812,-0.13247166272405106,-0.06486792436835145,0.04834991827182429,-0.14898966882057824
583,144.98563,-37.84135,0,"South Yarra - West","Melbourne - Inner","Education","Melbourne City","20399100000",177.4476865090202,772058.5300109611,137,472961.67360508087,238273.06911252977,14677.98304999969,28826.144096745193,0.0,17319.66014675272,0.0,0.48630409890494836,84.81994397705641,1.5221696453411737,0.43044412422856926,0.5725969328793639,2.525210702449107
484,144.96803,-37.74118,0,"Coburg","Melbourne - Inner","Education","Brunswick - Coburg","20466610000",115.90399981495592,741993.375011229,86,407562.5188547155,71981.14811032466,43895.47637026594,187226.691659016,31327.540016642306,0.0,0.0,0.6186187991162734,43.56406536535248,0.18540535372795336,-0.5556500551192491,1.3600273164608434,0.9897826150695477
483,144.92104,-37.7531,0,"Essendon - Aberfeldie","Melbourne - Inner","Education","Essendon","20445780000",74.24104706208423,592664.0550099583,44,451006.4961821232,36677.22376247984,29811.696530904293,75168.63853440422,0.0,0.0,0.0,0.4071792518764566,49.30150410017223,-0.7195379558930981,-0.4185143272871083,0.1017096577167335,-1.0363426254634729
450,144.9815,-37.7996,3,"Fitzroy","Melbourne - Inner","Education","Yarra","20638150000",174.75795185530401,835441.2400122713,146,498705.9955040437,3513.267276602797,42806.791509730654,289947.862459147,0.0,0.0,467.32326290220954,0.4392318103702313,86.50218056456522,1.463747060797677,0.4706527869222242,0.2924606354177022,2.226860483137603
293,145.01839,-37.82011,0,"Hawthorn","Melbourne - Inner East","Education","Boroondara","20071720000",110.66882820068533,614445.8300099621,68,432602.9450107053,104784.79636230636,41028.576486834565,35995.71604458225,33.79610549623612,0.0,0.0,0.4605419553616233,54.114377421307715,0.07169441357559761,-0.30347747611303777,0.41928143173094884,0.18749836919350868
253,144.89267,-37.79838,0,"Footscray","Melbourne - West","Education","Maribyrnong","20376930000",174.377470462105,699631.6650120952,122,538138.731423563,0.0,42670.63497403078,109691.57815364946,0.0,0.0,0.0,0.33844610355909616,85.74658263263122,1.4554827859813173,0.45259255532177545,-0.30733460764350656,1.600740733659586
250,144.9336,-37.78139,0,"Flemington","Melbourne - Inner","Education","Essendon","20444990000",96.71157514174718,620401.4350098202,60,475970.20809037215,21631.70083958685,59202.99707785784,62267.54338195169,0.0,0.0,1328.9856200125068,0.4051749496406492,73.66216004901129,-0.23146515486145836,0.16375180894856986,0.08978166728306027,0.02206832137017177
