school_no, longitude, latitude, person, sa2_name_2016, sa4_name_2016, mb_category_name_2016, sa3_name_2016, mb_code_2016, Connectivity, Area, Connections, LUM_Residential, LUM_Parkland, LUM_Education, LUM_Commercial, LUM_Industrial, LUM_Hospital/Medical, LUM_Transport, LandUseMixMeasure, AverageDensity, Connectivity_ZScore, AverageDensity_ZScore, LandUseMixMeasure_ZScore, SumZScore
8180,144.98972,-37.77416,0,"Northcote","Melbourne - Inner","Education","Darebin - South","20141630000",124.36062454888928,587002.5200082674,73,398220.7445545287,121204.70330652346,29769.179375528474,12748.71436122898,0.0,0.0,25059.178410515637,0.4923047989705128,53.758777086779155,0.3690881094928196,-0.3119770022860975,0.6083082600927282,0.6654193672994504
8135,144.97186,-37.83589,0,"Albert Park","Melbourne - Inner","Education","Port Phillip","20631963090",166.11933435768105,674214.1150099144,112,207664.2521558777,145224.8017738133,62411.33667786632,256454.53807923984,2459.186323318194,0.0,0.0,0.6690210495962893,156.5806315891681,1.2761113174738816,2.145661415473595,1.6599808617998044,5.081753594747282
8025,144.99532,-37.83683,0,"South Yarra - East","Melbourne - Inner","Education","Stonnington - West","20545740000",193.19518015360177,574548.4950077343,111,212078.93074974418,71430.38120121777,18488.457874836604,253324.08542412904,0.0,0.0,19226.63975771572,0.6230565515925514,143.41032034952153,1.864214269530271,1.8308658592851426,1.3864372401432017,5.081517368958615
8003,145.00226,-37.81648,0,"Richmond (Vic.)","Melbourne - Inner","Education","Yarra","20644450000",151.1474143583659,800542.9700114664,121,527844.899539873,29846.687187940057,35383.381861474365,185851.85310876332,6334.329745376543,15281.818567935377,0.0,0.5077282698968515,93.66561712552102,0.9509125991802531,0.6418725823693129,0.7000963199854502,2.292881501535016
7947,144.92558,-37.78791,0,"Kensington (Vic.)","Melbourne - Inner","Education","Melbourne City","20448980000",130.49290736689971,659039.6500110044,86,525491.2292467519,40630.53197174531,14133.601002685216,69353.73658441444,3899.4613001160324,0.0,5531.089905209839,0.3813915432589916,76.77478093205214,0.5022848212520498,0.23814938424132587,-0.051757986134677754,0.6886762193586979
7841,144.8949,-37.7991,0,"Footscray","Melbourne - West","Education","Maribyrnong","20373030000",202.6581711622164,759900.2750139874,154,490746.6552628179,0.0,42670.649974031374,222572.90009161556,0.0,0.0,0.0,0.41252815435507617,78.99316013129608,2.0697558799160047,0.2911728778517647,0.1335420113686888,2.4944707691364583
7810,144.9845,-37.88199,0,"Elwood","Melbourne - Inner","Education","Port Phillip","20521460000",88.19880629755377,646267.2500090392,57,521060.03156167804,51441.74523130956,52042.333348618355,8365.613196792314,0.0,0.0,0.0,0.3220615053017396,76.45627534538978,-0.4163673930104904,0.23053649328695874,-0.40484252225928885,-0.5906734219828205
7763,144.93326,-37.78235,0,"Flemington","Melbourne - Inner","Education","Essendon","20451740000",94.26160536943448,615308.8500103907,58,467213.6093522632,31981.994602954743,56980.4633095616,58834.68765277797,0.0,0.0,298.09509286889806,0.41690419700976805,76.32163556221545,-0.28467990820309164,0.2273183456928556,0.15958468796206407,0.10222312545182805
7670,144.89775,-37.74712,0,"Essendon - Aberfeldie","Melbourne - Inner","Education","Essendon","20448190000",40.95511220505883,610424.4050126657,25,533524.9469318001,45002.04104109388,31897.417039901018,0.0,0.0,0.0,0.0,0.23852565486299415,34.80924959502872,-1.4425276160839755,-0.7649068486451448,-0.9019805322364776,-3.1094149969655978
7526,145.04463,-37.83985,0,"Hawthorn East","Melbourne - Inner East","Education","Boroondara","20070040000",61.52758449328914,178781.60000251234,11,86542.24576438789,39125.00201150749,33733.33421824197,15479.418267599904,0.0,0.0,0.0,0.6244660116359405,39.4064117371651,-0.995681679118663,-0.655025906039482,1.3948252095890463,-0.25588237556909865
